Company,Role,Type,Location,Status,Date Applied,Source,Notes
"[Tubman Technologies Inc.](https://www.tubmantech.com/)","Java with Gen AI Developer","AI","Chicago, IL / Madison, WI (Remote, Hybrid, Onsite)","APPLIED","2025-10-22","Handshake","Provide digital training and e-learning solutions, learn Gen AI tools for Java development and deployment."
"[Impact Advisors](https://www.impact-advisors.com/)","Entry Level Consultant","Healthcare / Consulting","Chicago, IL (Hybrid)","APPLIED","2025-10-22","Handshake","Work with health-care organizations to improve operational performance, strategy, and technology."
"[Whole Foods Market – Cashier Team Member (Front End Service) – Part Time](https://careers.wholefoods.com/cashier-team-member-front-end-service-part-time/job/PAF-WFM-06A8B3D9-04AF-4F1D-94C9-50E4A8C14152_1055_1741849885_0?source=BA_LinkedInSponsored&utm_medium=jobboard)","Cashier Team Member (Front End Service)","Customer Service / Grocery Store","North Side, Chicago, IL","APPLIED","2025-10-21","Company Website",""
"[CyberCoders](https://www.linkedin.com/jobs/view/remote-it-support-70-90k-internal-security-at-cybercoders-4252330489)","Remote IT Support","IT","New York, NY (Remote)","APPLIED","2025-10-21","LinkedIn",""
"[Talkdesk](https://www.linkedin.com/jobs/view/technical-support-engineer-at-talkdesk-4254859703)","Technical Support Engineer","IT / Technical Support","United States (Remote)","APPLIED","2025-10-21","LinkedIn",""
"[Rhythm Software](https://www.linkedin.com/jobs/view/technical-support-engineer-at-rhythm-software-4248793064)","Technical Support Engineer","IT / SaaS","United States (Remote)","APPLIED","2025-10-21","LinkedIn",""
"[AbbVie](https://www.linkedin.com/jobs/view/data-analyst-abbvie-complete-access-onsite-3-days-per-week-at-abbvie-4248778998)","Data Analyst","Data / Supply Chain","Chicago, IL","APPLIED","2025-10-21","LinkedIn",""
"[Q-Centrix](https://www.linkedin.com/jobs/view/junior-ai-engineer-at-q-centrix-4248780563)","Junior AI Engineer","AI / Machine Learning / Healthcare","Chicago, IL (Remote)","APPLIED","2025-10-21","LinkedIn",""
"[Robert Half](https://www.linkedin.com/jobs/view/quality-assurance-developer-at-robert-half-4248785077)","Quality Assurance Developer","QA / Automation","Seattle, WA (Remote)","APPLIED","2025-10-21","LinkedIn",""
"[CyberCoders](https://www.linkedin.com/jobs/view/remote-it-support-70-90k-internal-security-at-cybercoders-4248782688)","Remote IT Support Specialist (Internal, Security)","IT Support / Security / SaaS","Jacksonville, FL (Remote)","APPLIED","2025-10-21","LinkedIn",""
"[TAG – The Aspen Group](https://www.linkedin.com/jobs/view/clinical-application-analyst-at-tag-the-aspen-group-4248787121)","Clinical Application Analyst","Healthcare IT / Application Support","Chicago, IL","APPLIED","2025-10-21","LinkedIn",""
"[Egg Harbor Cafe](https://eggharborcafe.bamboohr.com/careers)","Food/Drink Runner","Hospitality","Streeterville, Chicago, IL","APPLIED","2025-10-21","Company Website",""
"[Estelle’s Cafe & Lounge](https://www.estelleschicago.com/workwithus)","Barback","Hospitality","Wicker Park, Chicago, IL","APPLIED","2025-10-21","Indeed",""
"[Eden in Chicago LLC](https://www.edeninchicago.com)","Host","Hospitality","Chicago, IL","APPLIED","2025-10-21","Indeed",""
"[CAVA – Wicker Park](https://cava.com/careers)","Culinary Lead","Culinary","Wicker Park, Chicago, IL","APPLIED","2025-10-21","Indeed","Busy fast-casual kitchen, good for leadership in service."
"[The Doggy Dojo Inc.](https://www.indeed.com/cmp/The-Doggy-Dojo)","Dog Daycare Associate","Animal Care","Chicago, IL","APPLIED","2025-10-21","Indeed",""
